Ebook_ID,Ebook_Title,Material_Subject,Ebook_Author,Ebook_Price,Ebook_Rating,Ebook_No_Of_Rating,Ebook_URL,Image Link
29,Introduction to Data Science,Data Science,"B. Uma Maheshwari, R. Sujatha",496.8,4.6,66,https://amzn.in/d/9Tu3Lp0,https://drive.google.com/uc?id=1T93SeWapXaaIrnhM8AQULUGY5VRvNcHN 
30,Fundamentals of Data Science,Data Science,Samuel Burns,378,4.2,14,https://amzn.in/d/bDKptyl,https://drive.google.com/uc?id=13y83hf7eugnSRMyqUEZFsM305lOrQCsq 
31,Data Structures And Algorithms Made Easy,DSA,Karasimha Karumachi,449,4.4,3060,https://amzn.in/d/hLnU1mG,https://drive.google.com/uc?id=13BApVe1NON9p9ugFf7QOYOQK-ocNpeCf 
32,Data Structures and Algorithms in Python,DSA,"Michael T. Goodrich, Robereto Tamassia, Michael H. Goldwasser",480.4,4.5,236,https://amzn.in/d/9WDK1CO,https://drive.google.com/uc?id=125rLmQmt1XiJJrgZd_Nhj9sQQE7osoXO 
33,Data Structures and Algorithms Made Easy in Java,DSA,Narasimha Karumanchi,449,4.3,1209,https://amzn.in/d/f6XVRPR,https://drive.google.com/uc?id=1YLb-sbeixIqxfrMVgTlXKpbhi3YxriMz 
34,Problem Solving in Data Structures & Algorithms Using Python,DSA,Hemant Jain,449,4.3,14,https://amzn.in/d/4y7Qbpr,https://drive.google.com/uc?id=15xLFys-ky-KVk5CWkgi7HQRmnhH6J_RO 
35,Data Structures Through C++ ,DSA,Yashavant Kanetkar,330.6,4.7,15,https://amzn.in/d/fWs3i55,https://drive.google.com/uc?id=1nl7-uzGWubLxr_Qo8DhY2Mpa-OfbnA-f 
36,Hands-On Data Structures and Algorithms with Python,DSA,Basant Agarwal,938.69,4.6,16,https://amzn.in/d/8J67HVj,https://drive.google.com/uc?id=1C9x0OaY94_QxfheIjFPE7iFZNA4p4W8u 
37,Python Image Processing Cookbook,Image Processing,Sandipan Dey,2815.04,4.3,13,https://amzn.in/d/8RuJitL,https://drive.google.com/uc?id=1XYqOAsh3mg1rkYsUbsUSXeWsftW2KdaP 
38,Image Processing Masterclass with Python,Image Processing,Sandipan Dey,833.15,4.1,18,https://amzn.in/d/4pMWjk5,https://drive.google.com/uc?id=1eqr_kBJQIUfH9gVRSp81ha0P8CkHBdoa 
39,Digital Image Processing: An Algorithmic Introduction,Image Processing,"Wilhelm Burger, Mark J. Burge",6935,5,1,https://amzn.in/d/f4BTRuX,https://drive.google.com/uc?id=1qHMibY1raofZCN7ZAOIuhSntkcMa8qmr
40,Calculus: Problems and Solutions ,Calculus,Abraham Ginzburg,2002.6,4.7,26,https://amzn.in/d/fJxrZmb,https://drive.google.com/uc?id=1jFVuXsx0252OjPTEUZqRqwsmnb2rt5nB 
