Course_ID,Course_Title,Course_Subject,Offered_By,Course_Price,Course_Rating,Course_No_of_Ratings,Course_No_of_Languages_Available,Course_Languages,Course_No_of_People_Enrolled,Course_URL
39,Fundamentals of Digital Image and Video Processing,Image Processing,Northwestern,2404,4.6,1719,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",136257,https://www.coursera.org/learn/digital
40,Introduction to Image Processing,Image Processing,MathWorks,1617,4.8,104,21,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",10889,https://www.coursera.org/learn/introduction-image-processing
41,"Image Segmentation, Filtering, and Region Analysis",Image Processing,MathWorks,1617,4.8,30,21,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",4334,https://www.coursera.org/learn/image-segmentation
42,Introduction to Calculus,Calculus,The University of Sydney,2404,4.8,3534,1,English,229750,https://www.coursera.org/learn/introduction-to-calculus
43,Calculus: Single Variable Part 1 - Functions,Calculus,University of Pennsylvania,2404,4.7,2116,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",137168,https://www.coursera.org/learn/single-variable-calculus
44,Calculus for Machine Learning and Data Science,Calculus,DeepLearning.AI,2708,4.8,574,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",44934,https://www.coursera.org/learn/machine-learning-calculus
45,Calculus through Data & Modeling: Applying Differentiation,Calculus,John Hopkins University,2155,4.7,44,21,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",2427,https://www.coursera.org/learn/calculus-through-data-and-modelling-applying-differentiation?specialization=differential-calculus-data-modeling
46,Calculus through Data & Modeling: Precalculus Review,Calculus,John Hopkins University,2155,4.8,96,21,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",8213,https://www.coursera.org/learn/calculus-through-data-and-modelling-precalculus-review?specialization=differential-calculus-data-modeling
47,Calculus through Data & Modeling: Limits & Derivatives,Calculus,John Hopkins University,2155,4.7,179,21,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",6925,https://www.coursera.org/learn/calculus-through-data-and-modelling-imits-derivatives?specialization=differential-calculus-data-modeling
48,Calculus through Data & Modeling: Differentiation Rules,Calculus,John Hopkins University,2155,4.8,47,21,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",2466,https://www.coursera.org/learn/calculus-through-data-and-modelling-differentiation-rules?specialization=differential-calculus-data-modeling
49,Linear Algebra: Linear Systems and Matrix Equations,Linear Algebra,John Hopkins University,2155,4.7,33,1,English ,3444,https://www.coursera.org/learn/linear-systems-and-matrix-equations?specialization=linear-algebra-elementary-to-advanced
50,"Linear Algebra: Matrix Algebra, Determinants, & Eigenvectors",Linear Algebra,John Hopkins University,2155,4.8,20,1,English ,207,https://www.coursera.org/learn/matrix-algebra-determinants-and-eigenvectors?specialization=linear-algebra-elementary-to-advanced
51,Mathematics for Machine Learning: Linear Algebra,Linear Algebra,Imperial College London,2708,4.7,11958,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",373289,https://www.coursera.org/learn/linear-algebra-machine-learning
52,Linear Algebra for Machine Learning and Data Science,Linear Algebra,DeepLearning.AI,2708,4.5,1303,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",99141,https://www.coursera.org/learn/machine-learning-linear-algebra
53,Databases and SQL for Data Science with Python,DBMS,IBM,2708,4.6,19398,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",437067,https://www.coursera.org/learn/sql-data-science
54,Introduction to Databases,DBMS,Meta,2708,4.7,987,20,"English, German, Hindi, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish",63591,https://www.coursera.org/learn/introduction-to-databases
55,Introduction to Relational Databases (RDBMS),DBMS,IBM,2708,4.6,552,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",53440,https://www.coursera.org/learn/introduction-to-relational-databases
56,Introduction to NoSQL Databases,DBMS,IBM,2708,4.6,260,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",36004,https://www.coursera.org/learn/introduction-to-nosql-databases
